design,scenario_id,run_id,method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_non_ok_rate,terminal_jobs,terminal_throughput_rps
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r00-2697bc274b,GetJobResult,45,45,0.75,8.602,15.593,19.336,0.0,83,1.383333
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r00-2697bc274b,CancelJob,15,15,0.25,7.518,10.367,10.367,0.0,83,1.383333
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r00-2697bc274b,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,83,1.383333
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r01-bb6b778d6e,SubmitJob,180,180,3.0,8.416,16.378,23.722,0.0,79,1.316667
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r01-bb6b778d6e,GetJobStatus,60,60,1.0,6.137,12.836,17.667,0.0,79,1.316667
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r01-bb6b778d6e,GetJobResult,45,45,0.75,8.527,11.42,13.805,0.0,79,1.316667
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r01-bb6b778d6e,CancelJob,15,15,0.25,5.514,12.872,12.872,0.0,79,1.316667
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r01-bb6b778d6e,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,79,1.316667
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r02-d11d80fef7,SubmitJob,180,180,3.0,9.382,12.006,15.397,0.0,83,1.383333
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r02-d11d80fef7,GetJobStatus,60,60,1.0,7.929,10.236,10.77,0.0,83,1.383333
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r02-d11d80fef7,GetJobResult,45,45,0.75,9.049,12.034,13.48,0.0,83,1.383333
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r02-d11d80fef7,CancelJob,15,15,0.25,6.945,10.609,10.609,0.0,83,1.383333
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r02-d11d80fef7,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,83,1.383333
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r00-2cf8b7e2dc,SubmitJob,420,420,7.0,22.273,35.286,44.102,0.0,343,5.716667
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r00-2cf8b7e2dc,GetJobStatus,360,360,6.0,18.537,31.654,37.084,0.0,343,5.716667
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r00-2cf8b7e2dc,GetJobResult,300,300,5.0,20.404,33.125,42.17,0.0,343,5.716667
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r00-2cf8b7e2dc,CancelJob,120,120,2.0,17.053,30.093,35.294,0.0,343,5.716667
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r00-2cf8b7e2dc,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,343,5.716667
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r01-2de811d06a,SubmitJob,420,420,7.0,19.305,32.855,36.69,0.0,348,5.8
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r01-2de811d06a,GetJobStatus,360,360,6.0,17.269,30.993,33.736,0.0,348,5.8
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r01-2de811d06a,GetJobResult,300,300,5.0,21.255,31.777,35.734,0.0,348,5.8
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r01-2de811d06a,CancelJob,120,120,2.0,18.06,30.147,34.058,0.0,348,5.8
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r01-2de811d06a,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,348,5.8
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r02-e63306974e,SubmitJob,420,420,7.0,22.504,35.5,45.531,0.0,357,5.95
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r02-e63306974e,GetJobStatus,360,360,6.0,18.006,29.179,40.013,0.0,357,5.95
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r02-e63306974e,GetJobResult,300,300,5.0,19.64,31.445,38.345,0.0,357,5.95
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r02-e63306974e,CancelJob,120,120,2.0,16.596,28.294,32.468,0.0,357,5.95
A_microservices,design_a_s_medium_balanced,design_a_s_medium_balanced-r02-e63306974e,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,357,5.95
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r00-6296ce2613,SubmitJob,180,180,3.0,17.846,29.594,43.271,0.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r00-6296ce2613,GetJobStatus,540,540,9.0,17.141,28.115,32.966,0.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r00-6296ce2613,GetJobResult,420,420,7.0,17.699,28.142,31.234,0.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r00-6296ce2613,CancelJob,60,60,1.0,21.846,28.702,30.663,0.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r00-6296ce2613,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r01-6799551f2d,SubmitJob,180,180,3.0,18.575,27.632,37.997,0.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r01-6799551f2d,GetJobStatus,540,540,9.0,18.234,30.81,38.906,0.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r01-6799551f2d,GetJobResult,420,420,7.0,18.153,30.242,35.569,0.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r01-6799551f2d,CancelJob,60,60,1.0,25.022,30.215,31.519,0.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r01-6799551f2d,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,60,1.0
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r02-be6431b6dc,SubmitJob,180,180,3.0,19.464,30.649,32.669,0.0,206,3.433333
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r02-be6431b6dc,GetJobStatus,540,540,9.0,19.414,29.061,31.649,0.0,206,3.433333
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r02-be6431b6dc,GetJobResult,420,420,7.0,20.4,31.711,34.961,0.0,206,3.433333
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r02-be6431b6dc,CancelJob,60,60,1.0,15.942,30.704,31.693,0.0,206,3.433333
A_microservices,design_a_s_medium_poll_heavy,design_a_s_medium_poll_heavy-r02-be6431b6dc,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,206,3.433333
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r00-26bce2968c,SubmitJob,720,720,12.0,23.741,37.994,44.769,0.0,234,3.9
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r00-26bce2968c,GetJobStatus,240,240,4.0,17.897,31.928,35.705,0.0,234,3.9
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r00-26bce2968c,GetJobResult,180,180,3.0,20.537,35.903,42.488,0.0,234,3.9
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r00-26bce2968c,CancelJob,60,60,1.0,21.365,36.374,39.814,0.0,234,3.9
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r00-26bce2968c,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,234,3.9
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r01-21f757c04d,SubmitJob,720,720,12.0,22.819,37.788,43.216,0.0,82,1.366667
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r01-21f757c04d,GetJobStatus,240,240,4.0,17.792,31.851,36.827,0.0,82,1.366667
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r01-21f757c04d,GetJobResult,180,180,3.0,18.37,32.519,37.538,0.0,82,1.366667
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r01-21f757c04d,CancelJob,60,60,1.0,27.655,39.854,43.085,0.0,82,1.366667
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r01-21f757c04d,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,82,1.366667
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r02-fba80230d0,SubmitJob,720,720,12.0,22.858,37.68,41.746,0.0,63,1.05
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r02-fba80230d0,GetJobStatus,240,240,4.0,17.41,30.075,40.646,0.0,63,1.05
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r02-fba80230d0,GetJobResult,180,180,3.0,17.384,31.043,42.789,0.0,63,1.05
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r02-fba80230d0,CancelJob,60,60,1.0,26.279,36.415,40.926,0.0,63,1.05
